T76: ['S0', 'S0', 'S0', 'S189193', 'S3800', 'T0', 'S00000000', 'S550', 'S0', 'S0', 'S0', 'S0']
T273: ['S0', 'S60', 'S10', 'S239209', 'S0', 'T0', 'S00000000', 'S550', 'S0', 'S0', 'S0', 'S0']
T67: ['S0', 'S60', 'S49', 'S218853', 'S0', 'T0', 'S00000000', 'S150', 'S0', 'S0', 'S0', 'S0']
T428: ['S0', 'S20', 'S15', 'S223139', 'S0', 'T0', 'S00000000', 'S200', 'S0', 'S0', 'S0', 'S0']
T708: ['S0', 'S100', 'S94', 'S177222', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T251: ['S0', 'S30', 'S20', 'S215970', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S1', 'S0', 'S0']
T790: ['S0', 'S30', 'S24', 'S165080', 'S0', 'T0', 'S00000000', 'S80', 'S0', 'S8', 'S0', 'S0']
T6: ['S0', 'S30', 'S14', 'S181320', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S8', 'S0', 'S0']
T266: ['S0', 'S30', 'S27', 'S205851', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S1', 'S0', 'S0']
T563: ['S0', 'S300', 'S180', 'S171321', 'S9992', 'T0', 'S00000000', 'S0', 'S0', 'S1', 'S0', 'S0']
T291: ['S0', 'S30', 'S0', 'S286561', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S1', 'S0', 'S0']
T556: ['S0', 'S40', 'S10', 'S201167', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T704: ['S0', 'S0', 'S0', 'S214899', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T705: ['S0', 'S0', 'S0', 'S156122', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T706: ['S0', 'S0', 'S0', 'S168506', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T707: ['S0', 'S0', 'S0', 'S195504', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T904: ['S0', 'S60', 'S10', 'S200025', 'S40000', 'T0', 'S00000000', 'S0', 'S0', 'S0', 'S0', 'S0']
T900: ['S2', 'S62', 'S24', 'S209105', 'S9905', 'T0', 'S00000000', 'S150', 'S0', 'S0', 'S0', 'S0']
T295: ['S1', 'S50', 'S48', 'S278849', 'S0', 'T0', 'S00000000', 'S0', 'S0', 'S1', 'S1', 'S0']
