T0
T705
T0
T706
T0
T707
T0
T904
T0
T900
T0
T295
T0
T57,S00000000
T56,S00000000
T927,S00000000
T909,S00000000
T912,S00000000
T913,S00000000
T903,S00000000
T427,S00000000
T242,S00000000
T15,S00000000
T901,S00000000
T294,S00000000
T902,S00000000
T293,S00000000
T228,S00000000
T285,S00000000
T282,S00000000
T505,S00000000
T509,S00000000
T517,S00000000
T520,S00000000
T524,S00000000
T202,S00000000
T532,S00000000
T237,S00000000
T540,S00000000
T215,S00000000
T561,S00000000
T549,S00000000
T31,S00000000
T283,S00000000
T284,S00000000
T13,S00000000
T212,S00000000
T213,S00000000
T214,S00000000
T274,S00000000
T501,S00000000
T231,S00000000
T267,S00000000
T220,S00000000
T236,S00000000
T226,S00000000
T230,S00000000
T270,S00000000
T281,S00000000
T239,S00000000
T272,S00000000
T279,S00000000
T402,S00000000
T401,S00000000
T404,S10000000
T405,S00000000
T407,S00000000
T408,S00000000
T410,S00000000
T411,S00000000
T412,S00000000
T241,S00000000
T415,S00000000
T416,S00000000
T423,S00000000
T413,S00000000
T403,S10000000
T217,S00000000
T522,S10000000
T907,S00000000
T542,S10000000
T229,S00000000
T261,S00000000
T203,S00000000
T204,S00000000
T50,S00000000
T51,S00000000
T206,S00000000
T292,S00000000
T222,S00000000
T235,S00000000
T245,S00000000
T280,S00000000
T560,S00000000
T529,S00000000
T791,S00000000
T799,S00000000
T548,S00000000
T290,S00000000
T221,S00000000
T227,S00000000
T288,S00000000
T225,S00000000
T780,S00000000
T700,S00000000
T260,S00000000
T233,S00000000
T701,S00000000
T208,S00000000
T710,S00000000
T232,S00000000
T256,S00000000
T32,S00000000
T562,S00000000
T568,S00000000
T263,S00000000
T535,S00000000
T702,S00000000
T275,S00000000
T703,S00000000
T265,S00000000
T76,S00000000
T273,S00000000
T67,S00000000
T428,S00000000
T708,S00000000
T251,S00000000
T790,S00000000
T6,S00000000
T266,S00000000
T563,S00000000
T291,S00000000
T556,S00000000
T704,S00000000
T705,S00000000
T706,S00000000
T707,S00000000
T904,S00000000
T900,S00000000
T295,S00000000
T57,S150
T56,S0
T927,S450
T909,S550
T912,S750
T913,S750
T903,S300
T427,S200
T242,S0
T15,S0
T901,S300
T294,S250
T902,S160
T293,S300
T228,S150
T285,S0
T282,S400
T505,S55
T509,S0
T517,S100
T520,S0
T524,S0
T202,S30
T532,S0
T237,S400
T540,S0
T215,S0
T561,S300
T549,S300
T31,S0
T283,S0
T284,S0
T13,S60
T212,S30
T213,S60
T214,S50
T274,S0
T501,S100
T231,S0
T267,S60
T220,S150
T236,S450
T226,S100
T230,S0
T270,S200
T281,S300
T239,S0
T272,S0
T279,S150
T402,S0
T401,S0
T404,S0
T405,S0
T407,S0
T408,S0
T410,S0
T411,S0
T412,S0
T241,S500
T415,S0
T416,S0
T423,S0
T413,S0
T403,S0
T217,S100
T522,S45
T907,S300
T542,S150
T229,S250
T261,S0
T203,S0
T204,S0
T50,S100
T51,S100
T206,S150
T292,S0
T222,S0
T235,S200
T245,S200
T280,S150
T560,S0
T529,S90
T791,S70
T799,S100
T548,S550
T290,S150
T221,S100
T227,S140
T288,S0
T225,S100
T780,S50
T700,S0
T260,S90
T233,S60
T701,S0
T208,S0
T710,S0
T232,S0
T256,S0
T32,S200
T562,S300
T568,S0
T263,S0
T535,S0
T702,S500
T275,S450
T703,S450
T265,S600
T76,S550
T273,S550
T67,S150
T428,S200
T708,S0
T251,S0
T790,S80
T6,S0
T266,S0
T563,S0
T291,S0
T556,S0
T704,S0
T705,S0
T706,S0
T707,S0
T904,S0
T900,S150
T295,S0
T57,S0
T56,S0
T927,S0
T909,S0
T912,S0
T913,S0
T903,S0
T427,S0
T242,S0
T15,S0
T901,S0
T294,S0
T902,S0
T293,S0
T228,S0
